playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Tony Snell,MIL,26,79,9,1,1,1,1,1,8,3,2
DeAndre Liggins,MIL,23,78,0,3,1,2,0,1,0,0,3
Klay Thompson,GS,36,79,25,4,1,2,1,1,19,11,5
Wesley Matthews,DAL,38,77,22,4,2,0,0,1,11,7,5
Dennis Smith,DAL,29,75,14,8,2,1,0,3,18,6,2
Greg Monroe,PHO,35,83,16,4,2,0,0,4,12,7,10
Marquese Chriss,PHO,31,82,16,1,3,5,0,3,13,6,4
Wilson Chandler,DEN,35,80,17,4,1,0,2,1,9,7,7
Jamal Murray,DEN,26,76,13,2,1,2,1,0,11,6,0
Anthony Davis,NO,41,82,29,4,2,3,1,2,26,11,15
Darius Miller,NO,34,80,9,0,0,1,0,4,6,3,1
Dante Cunningham,NO,24,80,6,0,0,1,0,1,3,2,2
Donovan Mitchell,UTA,38,75,24,2,3,1,0,3,17,6,3
Derrick Favors,UTA,35,82,11,2,2,1,1,1,10,5,9
Joe Ingles,UTA,33,80,8,5,1,1,0,3,7,3,4
Ricky Rubio,UTA,24,76,11,7,1,4,0,2,12,5,2
Jonas Jerebko,UTA,19,81,7,0,1,0,0,3,5,3,0
Russell Westbrook,OKC,28,75,20,12,2,1,0,0,17,10,6
Klay Thompson,GS,38,79,28,4,1,0,0,2,20,11,3
Nick Young,GS,19,79,11,1,0,0,0,0,7,4,1
Chris Paul,HOU,36,72,28,9,5,0,0,5,21,10,7
Clint Capela,HOU,28,82,15,0,2,0,1,2,10,7,10
Russell Westbrook,OKC,38,75,29,11,6,1,0,3,24,11,12
Lance Thomas,NY,28,80,1,0,2,1,1,3,2,0,2
Doug McDermott,NY,24,80,9,0,1,0,0,1,6,3,2
Josh Richardson,MIA,40,78,18,2,1,3,1,2,12,5,1
Wayne Ellington,MIA,36,76,24,0,1,1,0,2,19,9,4
Kelly Olynyk,MIA,35,84,10,4,2,1,0,4,10,4,10
Langston Galloway,DET,22,74,11,1,0,1,0,1,9,4,3
T.J. McConnell,PHI,30,74,2,4,2,1,1,2,4,1,5
Ben Simmons,PHI,23,82,19,9,4,2,2,4,13,9,4
Tyus Jones,MIN,30,72,7,3,0,1,0,5,7,3,2
Gorgui Dieng,MIN,18,83,1,0,1,0,0,1,1,0,4
Al Horford,BOS,31,82,7,8,2,1,1,2,9,3,5
Marcus Smart,BOS,29,76,18,3,0,1,0,1,13,8,3
Daniel Theis,BOS,25,81,8,1,3,1,0,4,8,3,10
DeMar DeRozan,TOR,29,79,20,4,3,2,1,1,12,7,5
Kyle Lowry,TOR,27,72,15,4,1,2,0,2,10,5,6
Fred VanVleet,TOR,19,72,10,3,1,0,0,1,10,4,1
Giannis Antetokounmpo,MIL,34,82,24,5,2,2,0,1,14,9,5
Tony Snell,MIL,23,79,4,0,1,0,0,2,4,0,2
Matthew Dellavedova,MIL,21,76,10,7,1,0,0,0,6,3,0
Lauri Markkanen,CHI,32,84,16,1,1,1,1,0,9,6,9
Kris Dunn,CHI,32,76,32,9,4,4,0,3,17,12,2
Denzel Valentine,CHI,23,77,2,4,1,1,0,1,3,0,5
Wesley Matthews,DAL,36,77,24,3,1,1,0,1,14,7,4
Dennis Smith,DAL,26,75,15,7,5,3,0,1,12,6,2
Marquese Chriss,PHO,32,82,12,1,4,2,1,3,17,6,7
Bryn Forbes,SA,32,75,16,1,2,3,0,3,16,7,3
Kyle Anderson,SA,26,81,4,2,0,3,1,1,4,1,5
Pau Gasol,SA,25,84,15,0,2,0,0,3,8,6,7
Donovan Mitchell,UTA,36,75,15,5,1,1,1,1,13,6,7
Derrick Favors,UTA,34,82,14,1,2,0,3,2,10,6,10
Joe Ingles,UTA,32,80,9,9,4,2,0,4,7,4,6
Ricky Rubio,UTA,23,76,15,2,2,1,0,2,9,6,5
Wilson Chandler,DEN,33,80,3,2,2,0,0,0,5,1,2
Jamal Murray,DEN,33,76,26,3,1,0,0,2,13,9,6
Mike Scott,WAS,18,80,10,0,4,0,0,3,6,4,1
Tyreke Evans,MEM,32,78,26,7,3,1,0,3,24,10,5
Mario Chalmers,MEM,28,73,13,3,0,0,0,3,9,4,4
JaMychal Green,MEM,25,80,11,1,1,0,1,1,6,4,5
Dillon Brooks,MEM,17,79,7,0,2,0,0,3,4,3,2
C.J. McCollum,POR,32,75,20,6,1,3,0,1,13,8,4
Zach Collins,POR,27,84,4,2,1,1,1,4,4,1,6
Jusuf Nurkic,POR,23,83,11,3,1,1,0,2,8,4,9
Pat Connaughton,POR,23,77,11,2,2,1,0,3,6,5,3
Dwight Howard,CHA,28,83,15,1,2,0,2,3,11,6,10
Josh Hart,LAL,23,77,4,1,1,1,0,2,6,1,3
Klay Thompson,GS,26,79,10,3,2,1,1,2,16,4,4
Nick Young,GS,20,79,11,1,1,2,0,3,11,4,4
Montrezl Harrell,LAC,32,79,9,3,5,0,2,4,9,4,10
Tyrone Wallace,LAC,31,77,13,2,1,3,0,3,12,4,3
Marcus Smart,BOS,29,76,11,3,2,3,1,2,14,4,3
Daniel Theis,BOS,19,81,8,0,0,1,2,3,6,4,10
Joe Harris,BKN,32,78,10,2,2,0,1,3,9,4,12
Rondae Hollis-Jefferson,BKN,28,79,8,1,0,0,1,1,15,3,7
Quincy Acy,BKN,20,79,5,0,1,0,0,1,3,1,5
Chris Paul,HOU,35,72,16,13,5,2,0,2,10,5,7
Clint Capela,HOU,28,82,14,0,3,0,2,2,15,7,11
Kris Dunn,CHI,28,76,8,8,4,0,0,2,10,4,4
Denzel Valentine,CHI,27,77,13,1,2,2,1,2,10,5,5
Lauri Markkanen,CHI,25,84,13,2,2,0,0,2,9,4,5
Bobby Portis,CHI,22,83,15,2,1,0,3,1,7,4,4
Paul Zipser,CHI,21,80,4,0,2,0,0,2,4,2,3
LeBron James,CLE,37,80,33,9,3,6,1,1,23,12,10
Jae Crowder,CLE,24,78,2,3,0,2,0,2,7,1,4
Aaron Gordon,ORL,32,81,30,1,4,2,0,6,26,13,8
Elfrid Payton,ORL,27,76,20,5,3,0,0,4,13,8,7
Wesley Iwundu,ORL,22,79,12,3,1,2,0,1,7,6,5
Giannis Antetokounmpo,MIL,41,82,34,7,3,2,1,5,17,12,12
Tony Snell,MIL,32,79,10,1,0,1,1,4,9,4,1
Matthew Dellavedova,MIL,15,76,0,5,1,0,0,4,2,0,1
Mike Scott,WAS,16,80,7,0,2,0,0,5,5,3,1
Anthony Davis,NO,36,82,16,2,1,1,2,1,12,5,9
Darius Miller,NO,26,80,9,2,0,0,0,3,9,3,1
Dante Cunningham,NO,25,80,4,0,0,1,0,0,1,1,1
Rajon Rondo,NO,22,73,10,3,3,1,0,2,11,5,2
Tyus Jones,MIN,33,72,10,2,3,1,0,2,9,4,3
Gorgui Dieng,MIN,21,83,14,2,0,1,1,4,9,6,3
Jamal Murray,DEN,37,76,18,0,5,0,2,5,16,7,5
Wilson Chandler,DEN,27,80,7,0,5,0,0,2,6,1,6
De'Aaron Fox,SAC,35,75,18,7,4,1,0,5,11,6,3
Kosta Koufos,SAC,23,84,12,1,0,2,0,2,8,5,7
Donovan Mitchell,UTA,36,75,27,3,1,1,0,5,25,12,2
Derrick Favors,UTA,32,82,11,0,1,1,1,2,10,4,10
Joe Ingles,UTA,32,80,9,1,3,1,1,2,8,3,8
Ricky Rubio,UTA,30,76,4,6,2,0,0,3,6,0,5
Josh Richardson,MIA,37,78,14,7,1,2,2,0,11,6,3
Kelly Olynyk,MIA,32,84,12,2,1,1,0,4,8,4,2
Wayne Ellington,MIA,31,76,9,0,1,2,0,2,7,3,3
Lance Thomas,NY,25,80,2,0,1,1,0,2,2,1,4
Doug McDermott,NY,24,80,9,1,1,0,0,4,8,4,2
Wesley Matthews,DAL,34,77,14,1,0,2,1,3,10,4,1
Dennis Smith,DAL,25,75,11,5,0,2,0,3,14,5,3
Salah Mejri,DAL,22,85,11,1,0,0,0,0,5,4,7
Russell Westbrook,OKC,34,75,26,11,6,2,0,2,21,11,10
Kyle Anderson,SA,36,81,8,5,3,1,0,2,4,2,6
LaMarcus Aldridge,SA,35,83,30,1,0,1,1,3,21,12,14
Pau Gasol,SA,28,84,16,5,2,0,2,0,11,6,9
Bryn Forbes,SA,27,75,10,2,1,0,0,5,10,5,1
C.J. McCollum,POR,38,75,25,7,0,2,0,2,24,11,5
Shabazz Napier,POR,33,73,15,7,3,2,1,4,9,7,5
Jusuf Nurkic,POR,31,83,17,1,1,0,1,4,15,7,13
Pat Connaughton,POR,25,77,9,2,1,0,0,4,6,4,0
Giannis Antetokounmpo,MIL,32,82,17,3,4,2,1,1,8,3,7
Tony Snell,MIL,29,79,6,0,1,1,0,2,6,2,3
Bojan Bogdanović,IND,22,80,11,4,0,0,0,0,7,4,2
DeMar DeRozan,TOR,42,79,35,6,2,1,1,1,30,14,3
Kyle Lowry,TOR,38,72,18,11,4,1,0,2,14,7,5
Fred VanVleet,TOR,19,72,5,0,2,1,0,4,5,2,3
Joe Harris,BKN,37,78,12,2,1,0,0,5,11,4,7
Rondae Hollis-Jefferson,BKN,36,79,14,5,1,2,0,3,14,5,17
Quincy Acy,BKN,34,79,8,0,4,2,1,3,8,3,7
Jarrett Allen,BKN,18,83,14,0,2,0,0,4,5,5,5
Chris Paul,HOU,36,72,24,9,6,2,1,3,17,8,8
Clint Capela,HOU,34,82,15,3,2,0,2,5,7,5,16
Denzel Valentine,CHI,36,77,19,5,3,1,0,3,12,7,8
Lauri Markkanen,CHI,34,84,16,2,2,0,1,3,10,6,8
Bobby Portis,CHI,33,83,22,2,1,0,0,1,17,9,4
Kris Dunn,CHI,30,76,19,8,1,3,1,4,20,9,4
Jerian Grant,CHI,18,77,2,2,1,0,0,1,4,1,2
LeBron James,CLE,27,80,10,5,3,0,2,2,8,4,8
Tyus Jones,MIN,28,72,6,8,1,2,0,1,8,3,2
Gorgui Dieng,MIN,26,83,11,2,0,0,0,2,10,4,8
Rajon Rondo,NO,32,73,12,15,1,2,0,3,10,6,4
Dante Cunningham,NO,28,80,5,1,1,0,2,1,6,2,3
Anthony Davis,NO,27,82,30,1,0,0,1,1,14,12,10
Darius Miller,NO,16,80,3,3,1,0,0,4,3,1,1
LaMarcus Aldridge,SA,36,83,31,1,1,0,1,2,20,13,12
Bryn Forbes,SA,30,75,12,1,0,1,0,1,13,5,1
Kyle Anderson,SA,28,81,3,2,2,5,0,2,3,1,7
Pau Gasol,SA,24,84,2,2,0,1,0,2,8,1,9
De'Aaron Fox,SAC,30,75,11,10,4,0,0,0,9,5,4
Jamal Murray,DEN,42,76,21,6,2,1,0,2,22,8,2
Wilson Chandler,DEN,38,80,8,3,0,0,0,3,9,3,10
Klay Thompson,GS,35,79,19,1,0,0,2,0,17,8,5
Nick Young,GS,15,79,8,0,0,0,0,1,6,3,0
Tyrone Wallace,LAC,19,77,11,1,1,0,2,2,7,3,2
Josh Richardson,MIA,38,78,6,4,5,0,3,1,13,3,6
Wayne Ellington,MIA,35,76,15,2,1,1,1,0,17,6,3
Kelly Olynyk,MIA,22,84,4,1,3,0,0,3,5,2,5
DeMar DeRozan,TOR,35,79,25,6,1,0,0,3,29,10,4
Norman Powell,TOR,24,76,4,1,0,2,2,1,8,2,6
Fred VanVleet,TOR,19,72,8,2,1,2,0,2,9,3,3
Shabazz Napier,POR,34,73,21,2,4,2,0,2,10,5,5
C.J. McCollum,POR,33,75,27,7,1,1,0,1,19,11,3
Pat Connaughton,POR,30,77,10,0,1,0,0,3,7,4,4
Jusuf Nurkic,POR,23,83,20,2,3,1,0,4,15,8,8
Russell Westbrook,OKC,35,75,22,12,6,3,2,1,20,7,9
Aaron Gordon,ORL,33,81,19,2,1,0,0,3,16,6,8
Elfrid Payton,ORL,23,76,8,4,3,1,0,2,7,3,2
Dennis Smith,DAL,34,75,20,3,0,1,1,5,19,8,7
Wesley Matthews,DAL,33,77,16,3,1,1,0,4,10,5,5
De'Aaron Fox,SAC,32,75,15,3,3,4,1,1,16,6,1
Josh Hart,LAL,21,77,0,3,1,0,0,1,1,0,3
Wesley Matthews,DAL,37,77,4,3,0,1,1,0,8,2,4
Dennis Smith,DAL,31,75,15,6,1,0,2,1,13,4,3
Dwight Howard,CHA,35,83,15,2,3,1,4,1,5,5,12
Marvin Williams,CHA,29,81,5,2,1,1,0,3,3,2,6
Josh Richardson,MIA,38,78,14,4,2,1,0,4,9,5,3
Wayne Ellington,MIA,33,76,15,2,0,0,1,1,13,5,5
Kelly Olynyk,MIA,27,84,11,1,3,1,0,4,8,4,3
Bojan Bogdanović,IND,32,80,15,0,1,0,0,3,11,6,6
Ricky Rubio,UTA,41,76,21,3,3,4,0,4,17,9,2
Joe Ingles,UTA,38,80,10,6,1,0,0,1,12,4,5
Ekpe Udoh,UTA,34,82,16,2,0,3,2,3,10,7,9
Donovan Mitchell,UTA,31,75,16,4,2,1,1,4,20,7,5
Jonas Jerebko,UTA,20,81,9,1,2,1,0,2,6,3,4
Rondae Hollis-Jefferson,BKN,28,79,15,3,2,3,0,1,8,3,7
Joe Harris,BKN,25,78,9,1,1,1,0,0,7,2,2
Kris Dunn,CHI,46,76,9,8,2,5,1,3,18,4,2
Lauri Markkanen,CHI,46,84,33,1,1,2,1,1,22,10,10
Denzel Valentine,CHI,34,77,20,4,4,0,0,1,14,8,9
Bobby Portis,CHI,19,83,4,0,2,1,0,4,7,2,2
Michael Beasley,NY,39,82,26,1,2,1,1,3,22,10,12
Doug McDermott,NY,20,80,11,1,1,0,0,1,4,3,0
C.J. McCollum,POR,37,75,24,4,2,1,1,2,16,9,6
Shabazz Napier,POR,23,73,9,2,3,1,0,3,8,2,2
Jusuf Nurkic,POR,21,83,8,1,1,0,3,3,13,4,8
Chris Paul,HOU,33,72,37,11,2,3,0,4,29,13,7
Clint Capela,HOU,24,82,13,1,2,0,2,5,9,5,9
Rajon Rondo,NO,31,73,14,3,1,1,0,4,8,5,2
Darius Miller,NO,27,80,5,2,0,0,0,2,7,2,1
Ian Clark,NO,20,75,10,0,1,0,2,0,9,4,4
Dante Cunningham,NO,18,80,9,0,0,1,0,3,7,4,5
JaMychal Green,MEM,34,80,20,2,2,2,1,2,12,7,14
Tyreke Evans,MEM,33,78,28,3,1,1,0,0,24,10,6
Mario Chalmers,MEM,25,73,9,2,3,0,0,4,12,4,3
Dillon Brooks,MEM,23,79,0,2,0,0,0,5,4,0,2
Aaron Gordon,ORL,30,81,11,1,1,0,0,2,18,4,4
Elfrid Payton,ORL,21,76,6,7,2,0,0,1,8,3,1
Jonathon Simmons,ORL,21,78,7,1,0,1,0,1,6,2,1
Giannis Antetokounmpo,MIL,34,82,26,1,2,0,1,2,15,10,7
Sterling Brown,MIL,21,78,2,0,1,1,1,1,4,1,7
Russell Westbrook,OKC,35,75,38,5,4,4,0,0,23,15,10
Tyus Jones,MIN,19,72,3,1,0,1,0,1,6,1,1
Jamal Murray,DEN,39,76,13,3,3,2,1,2,13,5,2
Wilson Chandler,DEN,27,80,10,2,0,1,0,0,11,4,4
Tyrone Wallace,LAC,34,77,22,4,0,2,0,3,11,7,6
Montrezl Harrell,LAC,26,79,14,0,1,0,0,2,13,7,7
Nick Young,GS,25,79,7,1,0,1,0,2,11,3,0
Shaun Livingston,GS,25,79,8,4,3,2,0,4,3,1,1
Omri Casspi,GS,24,79,6,3,0,2,0,0,6,3,3
Al Horford,BOS,35,82,13,7,1,0,1,1,10,5,8
Marcus Smart,BOS,23,76,5,2,4,3,0,2,4,1,1
Ben Simmons,PHI,29,82,16,3,3,2,2,2,12,8,2
T.J. McConnell,PHI,26,74,12,5,1,3,0,0,11,6,4
LeBron James,CLE,32,80,26,1,2,1,2,1,16,9,3
Jae Crowder,CLE,19,78,11,0,1,2,0,5,6,4,2
DeMar DeRozan,TOR,29,79,13,8,0,0,0,2,13,5,3
Norman Powell,TOR,27,76,14,3,3,0,1,5,15,6,6
Jakob Pöltl,TOR,26,85,12,0,2,0,3,3,8,5,12
Fred VanVleet,TOR,24,72,22,4,0,1,0,2,11,8,4
Tyrone Wallace,LAC,37,77,8,2,2,2,1,4,7,3,3
Montrezl Harrell,LAC,27,79,25,0,2,1,0,4,12,11,6
De'Aaron Fox,SAC,29,75,8,6,2,3,0,3,10,3,0
Kosta Koufos,SAC,25,84,14,1,1,2,1,0,8,7,14
Pau Gasol,SA,37,84,9,5,3,0,3,2,14,4,12
Bryn Forbes,SA,37,75,18,0,1,2,0,1,12,7,1
LaMarcus Aldridge,SA,35,83,20,1,3,0,1,1,15,6,4
Kyle Anderson,SA,29,81,6,1,2,1,0,0,5,3,7
Donovan Mitchell,UTA,37,75,35,0,5,2,0,2,20,10,5
Joe Ingles,UTA,35,80,2,6,3,2,1,5,6,1,5
Derrick Favors,UTA,29,82,5,4,0,0,2,4,4,2,7
Ricky Rubio,UTA,28,76,7,4,2,0,1,2,11,3,7
Ekpe Udoh,UTA,19,82,1,0,0,1,2,1,3,0,3
Dwight Howard,CHA,33,83,8,1,2,1,1,4,9,2,13
Marvin Williams,CHA,27,81,15,1,3,3,0,4,11,5,7
LeBron James,CLE,40,80,27,11,5,3,1,2,25,11,8
Jae Crowder,CLE,24,78,5,1,1,2,2,1,5,2,2
Bojan Bogdanović,IND,29,80,6,0,3,0,0,1,4,2,1
Aaron Gordon,ORL,38,81,14,7,4,0,0,1,15,4,10
Elfrid Payton,ORL,38,76,27,8,3,1,0,1,12,9,5
Jonathon Simmons,ORL,33,78,23,5,2,0,0,5,11,8,0
Ian Mahinmi,WAS,21,82,17,1,1,1,3,2,8,7,8
Rondae Hollis-Jefferson,BKN,29,79,14,3,3,1,0,2,14,6,6
Quincy Acy,BKN,27,79,9,0,1,0,0,3,6,3,7
Joe Harris,BKN,23,78,10,2,0,0,0,2,6,4,3
Klay Thompson,GS,35,79,12,2,2,0,0,3,11,4,5
Giannis Antetokounmpo,MIL,36,82,23,4,3,0,1,5,19,10,7
Tony Snell,MIL,22,79,11,0,0,0,0,2,7,4,3
Lance Thomas,NY,29,80,0,1,2,1,1,3,1,0,1
Gorgui Dieng,MIN,21,83,10,2,1,2,0,0,8,5,5
C.J. McCollum,POR,36,75,23,4,1,1,1,2,21,9,4
Shabazz Napier,POR,36,73,17,6,2,2,0,1,15,7,6
Jusuf Nurkic,POR,31,83,19,2,3,1,3,3,9,7,5
Anthony Davis,NO,41,82,36,2,2,0,2,3,23,16,9
Ian Clark,NO,26,75,5,1,2,2,1,3,7,2,4
Darius Miller,NO,26,80,16,2,1,0,1,1,6,4,0
Rajon Rondo,NO,20,73,3,2,1,0,0,1,2,1,2
Dillon Brooks,MEM,36,79,8,1,0,1,0,3,11,4,1
Tyreke Evans,MEM,32,78,12,4,5,2,0,2,13,5,3
JaMychal Green,MEM,21,80,5,0,3,0,1,5,9,2,7
Jamal Murray,DEN,32,76,11,3,2,2,0,1,7,1,4
Wilson Chandler,DEN,29,80,8,1,0,0,1,0,9,3,5
Clint Capela,HOU,36,82,17,3,4,2,1,2,11,7,16
Chris Paul,HOU,27,72,25,6,0,0,2,0,18,9,8
Wesley Matthews,DAL,39,77,17,4,0,0,0,3,10,5,1
Dennis Smith,DAL,39,75,23,3,3,1,0,1,19,8,2
De'Aaron Fox,SAC,35,75,17,10,4,2,0,3,17,6,1
Tyrone Wallace,LAC,32,77,12,1,2,0,1,4,8,5,3
Russell Westbrook,OKC,37,75,25,7,3,2,1,1,27,10,10
Patrick Patterson,OKC,17,81,6,1,0,0,0,2,6,1,5
Dwight Howard,CHA,34,83,11,0,0,1,3,3,9,4,17
Marvin Williams,CHA,28,81,16,4,0,0,0,0,9,6,9
Rondae Hollis-Jefferson,BKN,38,79,22,7,3,0,0,2,15,9,4
Jarrett Allen,BKN,29,83,16,1,1,0,0,2,10,6,8
Quincy Acy,BKN,25,79,8,1,0,1,2,2,5,2,6
Ian Mahinmi,WAS,15,82,1,0,1,0,1,5,2,0,6
Klay Thompson,GS,39,79,26,0,0,2,0,2,16,11,3
DeMar DeRozan,TOR,38,79,42,3,2,0,0,2,31,17,5
Kris Dunn,CHI,31,76,18,8,2,3,3,2,13,7,8
Lauri Markkanen,CHI,27,84,19,1,1,3,1,0,15,7,4
Denzel Valentine,CHI,21,77,2,3,0,0,0,3,3,1,5
Jamal Murray,DEN,24,76,2,2,0,0,0,0,7,1,1
Wilson Chandler,DEN,20,80,5,1,2,0,0,3,4,2,5
LaMarcus Aldridge,SA,27,83,15,0,2,1,1,4,13,7,5
Kyle Anderson,SA,25,81,8,6,1,1,0,0,9,3,6
Pau Gasol,SA,20,84,9,2,1,1,0,2,8,3,5
Giannis Antetokounmpo,MIL,31,82,22,1,2,1,0,4,12,6,6
Sterling Brown,MIL,22,78,3,0,0,1,0,1,5,1,5
Tony Snell,MIL,21,79,3,0,0,0,0,2,4,1,0
Wayne Ellington,MIA,32,76,7,2,3,0,0,1,8,2,5
Josh Richardson,MIA,31,78,16,0,1,1,1,2,9,6,6
Anthony Davis,NO,50,82,48,0,4,4,3,2,30,17,17
Ian Clark,NO,25,75,5,3,0,0,0,1,5,2,3
Rajon Rondo,NO,24,73,4,5,4,1,0,1,7,2,4
Darius Miller,NO,20,80,4,0,1,0,0,3,4,2,0
Lance Thomas,NY,26,80,7,1,0,0,1,3,5,2,6
T.J. Leaf,IND,23,82,9,1,1,0,0,3,6,4,2
Bojan Bogdanović,IND,21,80,14,0,1,0,0,1,10,4,0
Alex Len,PHO,19,85,12,3,1,0,1,0,7,6,10
Pat Connaughton,POR,29,77,18,3,0,1,1,1,13,7,1
Zach Collins,POR,29,84,7,2,0,0,0,5,5,3,1
C.J. McCollum,POR,26,75,18,0,2,1,0,4,15,7,0
Gorgui Dieng,MIN,20,83,2,1,1,0,2,2,2,1,5
Kyle Lowry,TOR,37,72,13,4,4,3,0,3,16,3,7
DeMar DeRozan,TOR,35,79,24,5,3,2,0,4,18,8,1
Jakob Pöltl,TOR,27,85,7,2,1,0,1,5,4,2,8
T.J. McConnell,PHI,32,74,18,8,2,3,1,0,13,8,6
Ben Simmons,PHI,27,82,12,4,6,2,2,5,10,5,1
Giannis Antetokounmpo,MIL,39,82,27,6,3,0,2,4,23,9,20
Matthew Dellavedova,MIL,15,76,0,3,0,1,0,1,1,0,1
Tony Snell,MIL,15,79,6,0,1,1,0,1,3,2,0
Mike Scott,WAS,16,80,5,0,1,0,1,2,5,2,3
LaMarcus Aldridge,SA,35,83,25,3,2,1,1,2,21,11,11
Kyle Anderson,SA,32,81,13,1,2,3,0,1,6,3,6
Danny Green,SA,28,78,11,3,0,2,1,4,7,4,2
Pau Gasol,SA,21,84,6,4,3,0,2,1,6,2,5
Michael Beasley,NY,29,82,23,2,3,0,2,2,18,10,10
Doug McDermott,NY,29,80,13,1,1,0,0,1,8,3,4
Ron Baker,NY,26,76,5,1,0,3,0,3,4,2,4
Rondae Hollis-Jefferson,BKN,26,79,16,1,4,1,0,6,9,5,6
Joe Harris,BKN,23,78,10,1,1,1,0,0,5,3,5
Quincy Acy,BKN,22,79,13,0,1,0,1,2,9,3,4
De'Aaron Fox,SAC,27,75,12,5,2,0,0,4,9,4,3
Russell Westbrook,OKC,33,75,19,9,10,1,0,2,14,8,16
Wayne Ellington,MIA,33,76,20,1,2,0,0,1,13,6,5
Josh Richardson,MIA,32,78,11,6,1,2,2,4,10,4,5
Kelly Olynyk,MIA,28,84,21,8,2,0,0,4,16,9,3
Kris Dunn,CHI,33,76,6,10,2,1,0,4,11,3,2
Lauri Markkanen,CHI,30,84,17,3,0,1,0,2,13,6,9
Denzel Valentine,CHI,28,77,12,2,1,0,0,3,8,4,7
Josh Hart,LAL,32,77,16,1,0,1,1,1,10,5,3
Tyreke Evans,MEM,36,78,15,12,2,1,0,2,15,7,9
JaMychal Green,MEM,27,80,11,1,0,0,0,4,8,4,9
Dillon Brooks,MEM,27,79,19,2,2,0,0,5,8,6,4
Klay Thompson,GS,35,79,17,2,2,1,1,2,12,7,4
LeBron James,CLE,36,80,32,6,8,3,4,3,18,12,8
Jae Crowder,CLE,21,78,7,1,0,1,0,3,7,3,2
Bojan Bogdanović,IND,28,80,10,2,1,1,0,1,7,3,4
Donovan Mitchell,UTA,33,75,23,2,1,2,0,0,16,8,2
Derrick Favors,UTA,29,82,16,0,2,3,2,2,12,8,7
Ricky Rubio,UTA,23,76,2,0,2,2,0,2,7,1,5
Jonas Jerebko,UTA,22,81,8,2,0,0,0,2,8,3,5
Royce O'Neale,UTA,21,78,7,1,2,0,0,2,7,2,5
Chris Paul,HOU,35,72,19,7,1,0,1,2,17,8,6
Clint Capela,HOU,28,82,14,0,1,0,2,1,10,6,7
Luc Richard Mbah a Moute,HOU,26,80,5,2,3,3,0,3,6,2,2
Tyrone Wallace,LAC,33,77,12,2,1,3,1,3,7,5,2
Montrezl Harrell,LAC,32,79,10,2,3,0,2,3,7,4,6
Dwight Howard,CHA,36,83,21,0,3,1,4,1,12,9,17
Marvin Williams,CHA,29,81,21,1,2,0,0,1,8,7,5
Gorgui Dieng,MIN,17,83,5,1,1,0,2,2,6,2,2
Aaron Gordon,ORL,39,81,14,1,3,0,1,2,17,5,7
Jonathon Simmons,ORL,32,78,4,4,1,0,0,2,9,2,2
Elfrid Payton,ORL,24,76,6,3,3,1,0,1,5,3,4
Anthony Davis,NO,45,82,45,2,1,1,2,2,34,16,16
Ian Clark,NO,32,75,15,1,0,0,0,1,10,7,4
Rajon Rondo,NO,30,73,7,8,2,2,2,1,6,3,3
Dante Cunningham,NO,19,80,0,1,0,0,1,0,0,0,5
Al Horford,BOS,38,82,14,6,2,1,1,3,9,5,9
Marcus Smart,BOS,30,76,16,5,2,1,1,3,14,5,5
Wesley Matthews,DAL,35,77,10,2,3,2,0,4,12,3,4
Dennis Smith,DAL,31,75,25,5,4,1,0,2,18,11,2
Wilson Chandler,DEN,38,80,6,2,2,2,0,2,8,3,8
Jamal Murray,DEN,31,76,7,1,3,0,0,1,9,3,3
Torrey Craig,DEN,14,78,5,0,1,1,0,5,3,2,4
Alex Len,PHO,25,85,9,1,0,0,0,0,5,2,10
C.J. McCollum,POR,36,75,27,2,3,3,2,3,18,9,3
Jusuf Nurkic,POR,22,83,9,1,3,1,2,2,9,4,7
Shabazz Napier,POR,20,73,11,6,1,1,0,2,9,5,3
Mike Scott,WAS,25,80,18,3,0,1,0,3,10,7,2
Dwight Howard,CHA,29,83,18,2,2,2,2,2,13,7,15
Marvin Williams,CHA,22,81,12,1,1,0,0,0,7,4,3
Anthony Davis,NO,38,82,8,3,0,1,2,2,8,2,7
Darius Miller,NO,30,80,17,1,2,1,0,3,9,7,3
Ian Clark,NO,25,75,8,1,1,1,0,3,8,3,2
Dante Cunningham,NO,23,80,4,0,0,0,1,0,6,2,8
LaMarcus Aldridge,SA,38,83,34,3,2,0,2,2,24,13,8
Pau Gasol,SA,30,84,13,7,1,0,0,1,8,5,12
Danny Green,SA,27,78,9,1,0,3,1,3,6,2,2
Bryn Forbes,SA,23,75,4,1,0,0,0,2,9,2,2
Joe Harris,BKN,32,78,18,0,0,1,0,1,13,7,1
Rondae Hollis-Jefferson,BKN,19,79,7,1,5,0,1,0,6,3,4
Quincy Acy,BKN,19,79,3,0,2,0,0,4,5,1,6
Langston Galloway,DET,24,74,11,1,0,4,0,2,8,4,1
DeMar DeRozan,TOR,37,79,17,5,5,0,0,2,15,7,2
Kyle Lowry,TOR,32,72,18,5,3,1,0,2,14,5,9
Klay Thompson,GS,37,79,38,2,3,0,1,0,22,12,4
Nick Young,GS,19,79,2,0,0,2,1,1,4,1,2
Omri Casspi,GS,18,79,4,0,0,1,0,3,3,1,4
Kris Dunn,CHI,30,76,16,4,1,3,0,3,17,7,5
Lauri Markkanen,CHI,29,84,11,2,0,0,1,3,12,4,8
