playDispNm,teamAbbr,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playTRB
Josh Richardson,MIA,37,78,21,2,1,2,2,3,17,8,4
Kelly Olynyk,MIA,29,84,10,4,5,2,1,3,8,4,10
Wayne Ellington,MIA,25,76,20,2,1,1,0,1,9,6,2
Mike Conley,MEM,28,73,17,4,2,0,0,3,10,3,3
Mario Chalmers,MEM,26,73,11,4,1,2,0,3,7,3,1
Tyreke Evans,MEM,23,78,5,2,0,1,0,1,7,2,5
Dillon Brooks,MEM,21,79,3,0,1,1,0,1,2,1,0
James Harden,HOU,35,77,22,8,7,1,0,4,20,8,5
Luc Richard Mbah a Moute,HOU,28,80,8,0,3,1,0,2,4,2,2
Clint Capela,HOU,25,82,14,0,0,1,2,5,9,7,6
Dwight Howard,CHA,34,83,8,1,2,0,4,4,6,4,22
Marvin Williams,CHA,28,81,9,1,1,2,0,3,10,3,0
Dwayne Bacon,CHA,24,79,5,2,0,0,0,3,6,2,4
Giannis Antetokounmpo,MIL,39,82,32,6,6,1,2,5,21,13,14
Tony Snell,MIL,37,79,13,2,1,2,0,3,8,4,2
Matthew Dellavedova,MIL,33,76,2,9,1,0,0,4,3,1,3
Mirza Teletović,MIL,24,81,15,0,1,0,0,2,10,5,5
Greg Monroe,MIL,21,83,8,3,0,0,0,1,9,4,7
DeAndre Liggins,MIL,21,78,5,1,2,1,1,2,4,2,1
Klay Thompson,GS,28,79,21,3,2,0,1,4,16,9,4
Nick Young,GS,19,79,13,0,1,0,0,0,8,4,1
Shaun Livingston,GS,15,79,8,1,0,0,0,1,5,4,4
Wesley Matthews,DAL,34,77,19,2,0,3,0,1,13,7,2
Dennis Smith,DAL,30,75,10,1,1,2,0,3,11,3,6
DeMar DeRozan,TOR,36,79,28,4,4,3,0,3,20,10,2
Kyle Lowry,TOR,35,72,8,3,1,0,0,3,11,3,2
Jakob Pöltl,TOR,26,85,10,0,2,1,3,2,5,4,12
Norman Powell,TOR,21,76,6,4,1,3,0,3,7,2,2
LaMarcus Aldridge,SA,36,83,20,3,2,1,1,3,16,7,8
Danny Green,SA,34,78,17,0,1,0,5,0,15,6,8
Kyle Anderson,SA,28,81,10,1,2,0,2,4,9,4,4
Pau Gasol,SA,22,84,1,4,4,0,3,2,6,0,7
Rudy Gay,SA,22,81,11,0,2,1,1,3,8,5,5
Ian Mahinmi,WAS,19,82,4,0,2,1,0,5,6,2,8
Mike Scott,WAS,18,80,2,1,2,0,0,2,5,1,1
Wilson Chandler,DEN,32,80,7,4,3,0,0,3,4,2,2
Jamal Murray,DEN,29,76,8,6,1,0,1,3,12,4,3
De'Aaron Fox,SAC,30,75,19,4,1,3,0,3,16,7,5
Kosta Koufos,SAC,22,84,7,2,0,0,1,2,5,2,9
Marquese Chriss,PHO,29,82,19,1,2,0,3,6,13,8,6
Mike James,PHO,27,73,18,7,4,0,0,2,10,8,2
Paul Zipser,CHI,34,80,11,4,0,0,0,2,11,5,7
Lauri Markkanen,CHI,32,84,19,0,2,0,1,1,12,7,8
Jerian Grant,CHI,32,77,12,10,2,1,0,5,8,4,6
Denzel Valentine,CHI,17,77,13,0,0,0,0,1,10,5,4
Cristiano Felício,CHI,16,82,2,3,1,0,0,3,5,1,2
LeBron James,CLE,37,80,34,13,2,3,0,1,20,13,2
Jae Crowder,CLE,31,78,11,0,0,0,0,2,10,4,2
Rondae Hollis-Jefferson,BKN,25,79,18,2,2,1,1,3,8,6,5
Aaron Gordon,ORL,37,81,41,2,1,0,0,3,18,14,14
Terrence Ross,ORL,25,78,0,1,1,1,1,3,5,0,1
Jonathon Simmons,ORL,23,78,12,2,2,0,0,4,8,2,3
Doug McDermott,NY,17,80,6,2,1,1,0,2,5,3,4
Al Horford,BOS,29,82,13,5,2,0,1,1,8,5,13
Daniel Theis,BOS,21,81,11,1,2,0,2,4,6,4,5
Bojan Bogdanović,IND,31,80,19,1,2,0,0,3,12,9,5
T.J. Leaf,IND,19,82,11,0,0,0,0,2,10,5,2
Nemanja Bjelica,MIN,26,82,18,2,2,1,1,0,10,6,1
Dante Cunningham,NO,28,80,0,0,0,1,0,3,5,0,5
Ian Clark,NO,27,75,9,3,0,0,0,1,8,3,7
Darius Miller,NO,20,80,5,0,1,0,0,3,2,1,2
C.J. McCollum,POR,36,75,23,2,1,0,0,3,15,7,4
Pat Connaughton,POR,23,77,8,0,1,0,0,1,8,3,6
Rudy Gobert,UTA,31,85,12,2,1,0,3,1,5,5,7
Ricky Rubio,UTA,31,76,10,5,3,1,0,1,10,5,5
Donovan Mitchell,UTA,30,75,19,1,4,1,0,4,20,7,2
Derrick Favors,UTA,24,82,6,2,1,0,0,2,7,3,3
Joe Ingles,UTA,18,80,3,1,4,1,0,3,5,1,2
Jamal Murray,DEN,33,76,16,5,1,1,0,2,20,7,3
Wilson Chandler,DEN,31,80,7,5,1,0,1,4,10,3,5
Dwight Howard,CHA,27,83,15,0,7,0,2,4,7,4,19
Dwayne Bacon,CHA,25,79,5,2,0,0,1,2,4,2,4
Marvin Williams,CHA,21,81,9,0,1,2,0,2,6,4,4
Nemanja Bjelica,MIN,24,82,7,1,0,0,0,0,5,2,3
Reggie Jackson,DET,25,75,10,4,0,1,0,3,6,3,2
Henry Ellenson,DET,21,83,14,1,1,0,0,0,12,6,5
James Harden,HOU,39,77,27,13,8,1,3,1,20,10,3
Luc Richard Mbah a Moute,HOU,36,80,8,0,2,1,3,0,8,4,3
Clint Capela,HOU,32,82,16,2,2,1,4,4,9,7,20
Tarik Black,HOU,12,80,8,2,1,2,2,5,2,2,3
Ben Simmons,PHI,34,82,14,9,4,3,1,2,17,7,7
T.J. McConnell,PHI,28,74,6,9,2,6,0,2,8,3,5
LeBron James,CLE,41,80,29,13,8,0,4,1,20,12,10
Jae Crowder,CLE,21,78,5,1,1,0,0,0,3,2,1
Rondae Hollis-Jefferson,BKN,35,79,19,2,4,1,3,3,12,5,6
Joe Harris,BKN,18,78,11,0,0,0,0,2,9,4,0
LaMarcus Aldridge,SA,38,83,31,1,2,2,1,4,20,12,7
Danny Green,SA,35,78,15,3,1,0,1,3,7,6,7
Kyle Anderson,SA,27,81,12,2,0,1,0,1,8,4,10
Rudy Gay,SA,26,81,22,4,3,2,0,0,8,6,3
Dion Waiters,MIA,40,76,17,5,0,0,0,1,15,6,2
Josh Richardson,MIA,33,78,6,3,2,3,0,6,8,1,5
Bojan Bogdanović,IND,29,80,4,2,5,1,0,2,7,0,2
T.J. Leaf,IND,19,82,2,1,0,1,0,1,4,1,3
Russell Westbrook,OKC,35,75,28,16,7,3,0,3,18,10,10
Mike Conley,MEM,35,73,21,3,0,1,0,1,15,7,5
Dillon Brooks,MEM,28,79,4,0,4,0,0,5,5,2,2
Tyreke Evans,MEM,25,78,13,2,0,1,0,2,8,5,4
Mario Chalmers,MEM,25,73,8,0,6,0,0,3,9,2,4
Wesley Matthews,DAL,41,77,16,2,2,1,0,2,9,5,4
Dennis Smith,DAL,28,75,19,5,1,0,0,2,12,8,1
Rudy Gobert,UTA,36,85,16,1,4,0,5,2,9,5,14
Ricky Rubio,UTA,34,76,15,11,7,4,1,3,15,6,4
Derrick Favors,UTA,31,82,15,1,1,0,0,2,9,7,7
Joe Ingles,UTA,30,80,11,0,1,3,0,3,10,4,6
Alex Len,PHO,30,85,13,0,2,0,0,1,11,6,13
Marquese Chriss,PHO,23,82,4,2,1,0,1,1,6,2,5
Mike James,PHO,22,73,5,2,1,1,0,2,9,1,4
DeMar DeRozan,TOR,38,79,24,6,3,6,0,0,18,9,3
Kyle Lowry,TOR,38,72,14,9,2,1,2,4,18,5,4
Jakob Pöltl,TOR,27,85,12,2,2,1,1,4,11,6,14
Klay Thompson,GS,38,79,22,5,4,1,1,2,15,9,8
Shaun Livingston,GS,16,79,0,3,0,0,0,2,0,0,0
Mike Scott,WAS,25,80,4,0,0,1,0,2,10,2,8
Denzel Valentine,CHI,36,77,11,5,2,2,0,0,14,3,9
Jerian Grant,CHI,36,77,11,7,2,2,0,0,7,2,4
Lauri Markkanen,CHI,31,84,14,1,2,0,0,2,13,5,12
Wesley Matthews,DAL,35,77,18,1,1,1,0,2,12,6,1
Dennis Smith,DAL,33,75,9,9,4,2,1,2,14,4,3
Mike Conley,MEM,31,73,22,4,3,1,0,1,13,5,1
Dillon Brooks,MEM,25,79,7,0,1,2,0,3,7,3,5
