,playDispNm,teamAbbr,teamLoc,playStat,playMin,playHeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFTA,playFTM,playTRB,opptAbbr,opptRslt,gameNum
3005,Kyrie Irving,BOS,Home,Starter,34,75,16,6,1,1,1,2,16,4,8,7,5,GS,Loss,16
3009,Aron Baynes,BOS,Home,Bench,12,82,4,1,1,1,0,0,4,1,2,2,5,GS,Loss,16
3206,Kyrie Irving,BOS,Away,Starter,31,75,30,5,4,0,1,3,12,10,5,5,4,ATL,Loss,17
3472,Kyrie Irving,BOS,Away,Starter,39,75,47,6,3,1,0,3,22,16,11,10,3,DAL,Loss,18
3584,Kyrie Irving,BOS,Away,Starter,33,75,23,3,1,3,0,2,22,11,4,1,1,MIA,Win,19
3745,Kyrie Irving,BOS,Home,Starter,25,75,30,3,1,1,0,2,15,9,10,10,4,ORL,Loss,20
3748,Aron Baynes,BOS,Home,Bench,22,82,13,2,1,0,0,1,9,6,2,1,11,ORL,Loss,20
3934,Kyrie Irving,BOS,Away,Starter,34,75,25,6,3,1,0,1,20,11,2,2,4,IND,Loss,21
3939,Aron Baynes,BOS,Away,Bench,24,82,8,0,2,1,0,2,5,4,0,0,4,IND,Loss,21
4082,Kyrie Irving,BOS,Home,Starter,36,75,18,9,6,0,0,5,16,6,7,5,4,DET,Win,22
4389,Kyrie Irving,BOS,Home,Starter,33,75,36,3,2,0,0,1,21,12,8,7,4,PHI,Loss,23
4557,Kyrie Irving,BOS,Home,Starter,31,75,19,5,3,2,0,1,14,8,1,1,0,PHO,Loss,24
4563,Aron Baynes,BOS,Home,Starter,18,82,6,2,1,0,1,2,6,3,0,0,1,PHO,Loss,24
4795,Kyrie Irving,BOS,Home,Starter,34,75,32,1,3,2,0,2,24,13,5,4,4,MIL,Loss,25
4798,Aron Baynes,BOS,Home,Starter,15,82,10,2,0,0,1,3,6,3,4,4,4,MIL,Loss,25
4977,Kyrie Irving,BOS,Home,Starter,32,75,23,5,4,0,2,2,18,10,2,2,2,DAL,Loss,26
5222,Kyrie Irving,BOS,Away,Starter,36,75,36,1,1,1,0,2,21,13,4,4,1,SA,Win,27
5227,Aron Baynes,BOS,Away,Starter,14,82,4,0,2,0,0,2,2,1,2,2,3,SA,Win,27
5391,Kyrie Irving,BOS,Away,Starter,34,75,16,3,2,0,0,2,12,4,5,5,3,DET,Loss,28
5395,Aron Baynes,BOS,Away,Starter,27,82,6,0,1,1,0,5,6,3,0,0,13,DET,Loss,28
5464,Aron Baynes,BOS,Away,Starter,17,82,10,1,4,0,0,3,6,5,0,0,3,CHI,Win,29
5691,Kyrie Irving,BOS,Home,Starter,33,75,33,7,3,1,2,4,19,12,6,5,1,DEN,Loss,30
5693,Aron Baynes,BOS,Home,Starter,28,82,17,2,2,0,0,3,11,8,2,1,6,DEN,Loss,30
5915,Kyrie Irving,BOS,Home,Starter,37,75,33,6,2,0,0,3,25,11,9,9,4,UTA,Win,31
6090,Kyrie Irving,BOS,Away,Starter,30,75,20,6,3,0,0,3,17,7,2,2,2,MEM,Loss,32
6093,Aron Baynes,BOS,Away,Starter,28,82,13,0,1,0,0,3,8,6,1,1,6,MEM,Loss,32
6174,Kyrie Irving,BOS,Away,Starter,29,75,30,4,3,0,0,4,23,12,2,1,1,IND,Loss,33
